Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,56.968800,57.178799,56.724998,56.968601,56.968601,0
2017-03-28,56.857201,57.153999,56.549999,56.878399,56.878399,0
2017-03-29,56.969299,57.118999,56.582901,56.967899,56.967899,0
2017-03-30,56.625000,56.714500,55.900700,56.651299,56.651299,0
2017-03-31,56.061699,56.502499,55.858002,55.984299,55.984299,0
2017-04-03,56.228600,56.434502,55.928799,56.234600,56.234600,0
2017-04-04,56.084801,56.680000,56.015999,56.084801,56.084801,0
2017-04-05,56.028198,56.217999,55.719002,55.949799,55.949799,0
2017-04-06,56.414299,56.557999,56.146999,56.414299,56.414299,0
2017-04-07,56.344601,57.172901,56.328899,56.398499,56.398499,0
2017-04-10,57.375999,57.531502,57.075001,57.375999,57.375999,0
2017-04-11,57.104500,57.193501,56.810799,57.104500,57.104500,0
2017-04-12,57.028099,57.115002,56.590000,57.028099,57.028099,0
2017-04-13,56.631001,56.714802,56.169498,56.621601,56.621601,0
2017-04-14,56.258900,56.353699,55.943001,56.258900,56.258900,0
2017-04-17,56.255402,56.301701,55.867500,56.302898,56.302898,0
2017-04-18,55.868099,56.198101,55.721001,55.882401,55.882401,0
2017-04-19,56.199001,56.532501,55.873001,56.196499,56.196499,0
2017-04-20,56.583000,56.584000,56.142502,56.567902,56.567902,0
2017-04-21,56.109402,56.544300,55.910000,56.109402,56.109402,0
2017-04-24,56.426498,56.426601,55.514999,56.426498,56.426498,0
2017-04-25,55.779900,56.214001,55.557999,55.779900,55.779900,0
2017-04-26,56.060001,57.126400,55.855999,56.060001,56.060001,0
2017-04-27,57.097000,57.248100,56.525002,57.097000,57.097000,0
2017-04-28,56.972000,57.127201,56.610699,56.972000,56.972000,0
2017-05-01,56.912399,56.976002,56.394001,56.931999,56.931999,0
2017-05-02,56.973801,57.068001,56.634998,56.973801,56.973801,0
2017-05-03,57.054699,57.301998,56.695000,57.054699,57.054699,0
2017-05-04,57.327099,58.261002,57.053001,57.325401,57.325401,0
2017-05-05,58.360001,58.881599,58.055199,58.360001,58.360001,0
2017-05-08,58.027901,58.381001,57.877998,58.047001,58.047001,0
2017-05-09,58.205002,58.479000,58.104599,58.205002,58.205002,0
2017-05-10,58.418999,58.419102,57.421501,58.418999,58.418999,0
2017-05-11,57.426899,57.538399,56.923100,57.439602,57.439602,0
2017-05-12,57.057899,57.325001,56.814999,57.070400,57.070400,0
2017-05-15,57.090698,57.091499,56.212502,57.081799,57.081799,0
2017-05-16,56.334900,56.452801,56.030998,56.333500,56.333500,0
2017-05-17,56.426998,57.049999,56.266998,56.426998,56.426998,0
2017-05-18,57.084202,58.101398,56.887001,57.071301,57.071301,0
2017-05-19,57.525799,57.525902,56.685699,57.525799,57.525799,0
2017-05-22,56.926998,56.926998,56.341999,56.926998,56.926998,0
2017-05-23,56.600300,56.702000,56.209999,56.600300,56.600300,0
2017-05-24,56.303699,56.549599,56.069000,56.303699,56.303699,0
2017-05-25,56.345901,56.728802,55.840000,56.345901,56.345901,0
2017-05-26,56.820499,56.993999,56.563999,56.801399,56.801399,0
2017-05-29,56.481499,56.794998,56.261600,56.481499,56.481499,0
2017-05-30,56.462399,56.750500,56.321999,56.462200,56.462200,0
2017-05-31,56.540298,56.917500,56.469898,56.530800,56.530800,0
2017-06-01,56.710400,56.710499,56.209801,56.710400,56.710400,0
2017-06-02,56.378502,56.821999,56.224998,56.379299,56.379299,0
2017-06-05,56.606098,56.723999,56.284000,56.606098,56.606098,0
2017-06-06,56.581902,56.745998,56.338001,56.581100,56.581100,0
2017-06-07,56.477299,57.037998,56.259998,56.485298,56.485298,0
2017-06-08,57.049999,57.103001,56.737000,57.041302,57.041302,0
2017-06-09,56.873299,57.014999,56.643002,56.873299,56.873299,0
2017-06-12,56.996101,57.146999,56.743999,57.012402,57.012402,0
2017-06-13,57.003502,57.003502,56.615002,57.000099,57.000099,0
2017-06-14,56.877701,57.124001,56.653000,56.877701,56.877701,0
2017-06-15,57.425999,57.818100,57.271999,57.425999,57.425999,0
2017-06-16,57.799999,57.835899,57.404099,57.799999,57.799999,0
2017-06-19,57.709400,58.373001,57.431999,57.709400,57.709400,0
2017-06-20,58.421101,59.701000,58.048000,58.421101,58.421101,0
2017-06-21,59.559898,60.153999,59.312401,59.560001,59.560001,0
2017-06-22,60.240002,60.347000,59.639999,60.240002,60.240002,0
2017-06-23,59.843498,59.846802,59.404598,59.843498,59.843498,0
2017-06-26,59.423500,59.423500,58.857498,59.423401,59.423401,0
2017-06-27,58.894199,59.146000,58.528999,58.894199,58.894199,0
2017-06-28,59.363499,59.763000,58.964001,59.351501,59.351501,0
2017-06-29,59.216599,59.247002,58.705002,59.216702,59.216702,0
2017-06-30,59.419998,59.495998,58.979000,59.419998,59.419998,0
2017-07-03,58.880600,59.433498,58.702000,58.880600,58.880600,0
